iter	Logloss
0	0.6859978909
1	0.6773934043
2	0.6695932777
3	0.6628357551
4	0.6560926813
5	0.650217769
6	0.6437591644
7	0.6373869367
8	0.6305296429
9	0.6249219324
10	0.6183530458
11	0.6123938901
12	0.6065146879
13	0.601410007
14	0.5963721915
15	0.5910656392
16	0.5863277805
17	0.5805454873
18	0.5759590924
19	0.5718904828
20	0.5665332371
21	0.5627331753
22	0.5577355403
23	0.553434443
24	0.5491537301
25	0.5439887345
26	0.5397217404
27	0.5358540492
28	0.5320687714
29	0.5285055656
30	0.5239354569
31	0.5203512478
32	0.5166808951
33	0.5133654124
34	0.5098485839
35	0.5064951967
36	0.5024696704
37	0.498531947
38	0.4953453813
39	0.492096558
40	0.488866323
41	0.4850955816
42	0.4825873857
43	0.479853468
44	0.477220504
45	0.4738122125
46	0.4711493988
47	0.4685276665
48	0.4653481258
49	0.4624557775
50	0.4598050907
51	0.4573834564
52	0.4551531467
53	0.4518602986
54	0.4495222048
55	0.4469521168
56	0.4449242168
57	0.4422752509
58	0.439401161
59	0.4371629771
60	0.4345830839
61	0.4329669432
62	0.4310054285
63	0.4293014071
64	0.4272009115
65	0.425632355
66	0.4234784536
67	0.4216445754
68	0.4198661536
69	0.4185165321
70	0.4164002244
71	0.4143662832
72	0.4126780271
73	0.4114055079
74	0.4098276339
75	0.4088981814
76	0.4074172639
77	0.4051996952
78	0.4033735489
79	0.4019194243
80	0.4005256788
81	0.3993232774
82	0.3972837114
83	0.3955480968
84	0.3940589351
85	0.3926382141
86	0.3899565172
87	0.3884745537
88	0.3873160187
89	0.3861379726
90	0.3850738837
91	0.3831024345
92	0.3814438991
93	0.3798447523
94	0.3787450068
95	0.3776631121
96	0.3767295247
97	0.3758228437
98	0.3743218368
99	0.373323908
100	0.3722648804
101	0.3709574216
102	0.3698992264
103	0.3685737572
104	0.3669716386
105	0.3658900429
106	0.3648881908
107	0.3634699689
108	0.3625549579
109	0.3609215281
110	0.3592690803
111	0.3586517175
112	0.3573147993
113	0.3564934612
114	0.3555057398
115	0.3543098286
116	0.3536971933
117	0.3522080959
118	0.3512577981
119	0.3502489518
120	0.34931329
121	0.348150232
122	0.3465618046
123	0.3455511979
124	0.3449353768
125	0.3441633205
126	0.3436548226
127	0.343001765
128	0.3418892929
129	0.3410430606
130	0.3400766297
131	0.339450524
132	0.3384840786
133	0.3371515944
134	0.3359842333
135	0.3349987807
136	0.3340587168
137	0.3336984551
138	0.3329762358
139	0.3318705038
140	0.3311288324
141	0.3303451859
142	0.3298205496
143	0.3291772954
144	0.3283304425
145	0.3274033876
146	0.3265713737
147	0.3259359829
148	0.3249408078
149	0.3241325769
150	0.3235076944
151	0.3227827062
152	0.322116849
153	0.3209958502
154	0.3204026457
155	0.319792836
156	0.319126944
157	0.3184215721
158	0.3179243921
159	0.3172371002
160	0.3167196303
161	0.3159103804
162	0.3151853122
163	0.3147583275
164	0.3143013107
165	0.3137277484
166	0.3131358139
167	0.3123543553
168	0.3116554069
169	0.3111762156
170	0.3105496329
171	0.3096615495
172	0.3089690321
173	0.3082438391
174	0.3077886701
175	0.3071078121
176	0.3066620331
177	0.3059423161
178	0.3051056051
179	0.3044999578
180	0.3037631681
181	0.3028956291
182	0.3023981587
183	0.3021372465
184	0.3012929127
185	0.300683641
186	0.300063281
187	0.299600324
188	0.2991239657
189	0.2987646908
190	0.298095221
191	0.2973416614
192	0.2968006549
193	0.2964332071
194	0.2957282465
195	0.295291031
196	0.2949995628
197	0.2942128872
198	0.2936787203
199	0.2932345215
200	0.2928123623
201	0.292409971
202	0.2919779919
203	0.2914556924
204	0.2909688901
205	0.2903405719
206	0.2898526799
207	0.289127636
208	0.2886720106
209	0.2880061181
210	0.2872711827
211	0.2868561188
212	0.2863069228
213	0.2857504937
214	0.2851433602
215	0.2847468407
216	0.2840365517
